Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"75-79, mortality, males",6.2,14.4,16.2,8.0,9.7,15.1,11.1,18.1,16.0,10.6,31.4,22.6,43.1,20.4,18.6,21.5,24.0,25.1,23.3,21.5,30.9,39.3,27.1,30.8,36.2,41.4,31.6,45.0,50.2,30.5,51.5,55.3,46.3,38.6,37.2,46.3,34.2,47.0,48.4,37.5,26.6
"80-84, mortality, males",14.4,14.2,13.9,6.8,10.1,19.9,13.1,22.6,15.9,12.5,24.3,32.6,26.0,5.6,19.4,24.6,35.2,13.3,39.2,28.5,35.2,45.8,35.3,36.9,29.3,35.8,40.4,47.3,52.2,43.4,68.4,59.2,38.6,56.6,59.1,45.7,59.1,58.1,56.3,47.6,66.8
"85+, mortality, males",25.4,0.00,11.9,5.8,28.1,11.0,38.4,26.8,20.7,20.3,25.1,34.8,19.5,14.5,14.2,46.4,40.7,35.1,42.6,29.0,32.6,32.0,35.2,30.4,73.7,52.7,39.9,44.7,71.2,51.0,69.8,42.5,47.2,65.6,53.7,71.1,62.0,63.4,77.3,88.6,80.1
"25-29, mortality, females",0.00,0.67,0.00,0.66,0.00,0.00,0.00,0.00,0.00,1.9,0.64,0.00,1.8,0.00,0.00,0.59,0.00,1.2,0.60,0.00,0.00,1.3,0.00,0.00,0.69,0.70,1.4,0.69,0.68,1.3,0.65,1.3,0.62,0.00,0.58,0.00,0.00,0.00,1.1,0.00,0.00
"30-34, mortality, females",2.0,1.3,0.68,0.00,0.68,3.4,2.0,0.65,0.00,0.65,1.9,0.65,1.3,2.6,0.00,1.3,0.00,0.61,0.00,0.00,1.2,1.2,0.00,1.7,3.5,0.00,1.2,0.62,1.3,0.00,2.6,0.63,0.00,0.61,0.00,1.2,1.2,0.58,0.57,0.00,0.00
"35-39, mortality, females",1.6,3.8,2.8,2.7,3.3,2.6,2.0,1.3,2.0,1.3,4.7,2.6,0.65,2.6,3.2,4.5,0.64,2.6,1.9,0.00,2.5,3.7,1.2,1.8,2.9,3.4,0.57,1.1,3.4,1.7,2.9,1.2,1.2,0.60,1.2,1.8,0.60,0.59,1.2,0.00,1.7
"40-44, mortality, females",3.0,3.9,3.8,3.6,2.6,4.9,2.3,2.8,4.0,6.6,0.65,4.6,2.7,4.1,2.0,0.67,2.6,1.3,0.65,1.3,1.9,0.00,3.2,5.1,2.5,4.9,3.6,3.0,3.5,4.0,2.2,1.1,1.6,3.8,5.0,2.8,1.7,1.1,0.00,0.59,0.59
"45-49, mortality, females",0.00,4.2,0.00,4.2,1.0,2.0,5.9,1.9,2.8,5.2,4.9,3.0,2.1,6.1,4.6,7.2,4.7,3.4,2.7,3.4,4.0,3.3,1.3,3.9,4.5,3.8,3.2,3.8,3.8,4.3,4.9,2.4,4.1,4.6,3.3,5.0,2.7,2.2,1.6,5.4,1.1
"50-54, mortality, females",3.7,5.7,3.9,5.0,4.1,4.2,3.2,5.4,2.1,3.1,1.0,2.0,5.8,3.7,7.0,6.6,4.6,0.71,7.5,3.3,0.66,4.0,4.8,1.4,6.1,6.1,1.3,5.2,3.9,2.6,5.7,3.8,6.3,5.6,6.8,3.6,4.7,3.5,2.8,0.56,2.7
"55-59, mortality, females",4.1,7.6,4.4,2.7,6.5,6.7,11.7,9.9,9.1,3.1,9.6,6.5,2.2,5.4,7.4,5.2,10.1,9.8,2.8,6.3,5.0,7.0,4.4,4.9,6.8,9.5,6.2,9.0,5.6,7.6,6.8,4.0,5.3,5.2,7.1,7.1,4.5,1.9,2.5,3.1,5.5
"60-64, mortality, females",6.0,2.5,4.1,11.6,12.4,4.2,8.7,5.4,5.6,5.8,7.9,5.0,3.1,7.3,7.5,12.0,8.9,10.1,6.7,7.6,5.3,4.1,14.1,14.6,7.4,9.5,10.4,4.5,7.8,9.1,11.1,11.9,7.1,5.7,4.2,4.9,4.1,6.7,6.6,2.0,3.9
"65-69, mortality, females",5.6,5.6,2.8,2.7,6.4,4.5,6.1,7.8,4.3,7.8,5.3,12.8,1.9,6.8,9.1,3.1,7.4,12.8,6.6,12.3,2.3,9.3,4.7,8.2,14.8,5.5,8.7,6.3,10.1,16.3,18.0,13.3,13.9,18.5,13.0,11.5,7.2,8.1,8.8,7.3,6.5
"70-74, mortality, females",7.6,5.4,5.3,9.4,3.1,6.1,7.1,9.1,8.0,6.0,8.8,11.5,14.2,7.6,10.4,8.6,8.9,8.2,4.2,10.9,12.2,10.2,11.5,15.3,14.4,13.5,17.4,12.5,3.7,12.1,15.3,11.5,13.4,10.7,22.3,10.5,14.1,14.7,16.4,9.1,9.1
"75-79, mortality, females",11.1,17.8,12.1,9.3,7.8,14.1,7.5,12.4,9.7,14.4,10.8,19.0,12.9,9.3,6.9,13.5,13.2,15.2,15.1,14.0,8.8,14.7,9.3,15.6,20.9,16.3,17.8,11.6,22.3,17.4,16.3,16.6,13.9,20.6,14.7,19.4,11.3,18.4,14.1,16.6,26.0
"80-84, mortality, females",12.9,12.5,12.1,13.7,7.6,18.7,11.0,18.0,7.1,12.1,13.6,19.9,14.7,25.6,23.7,15.6,16.9,9.1,16.3,14.7,13.0,15.4,11.0,17.8,23.0,21.8,16.8,18.7,13.3,18.1,21.5,26.4,40.7,33.3,29.0,27.8,38.1,21.5,21.2,25.3,29.0
"85+, mortality, females",13.6,19.3,6.1,8.6,19.1,20.9,22.8,16.9,13.8,22.4,15.2,4.2,14.4,18.0,19.5,15.2,22.2,21.5,24.4,27.3,15.1,22.9,23.9,31.1,21.3,30.8,25.3,24.6,22.7,28.8,31.1,42.5,24.5,38.8,37.5,34.9,45.2,51.8,41.7,32.8,38.2
