Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"75-79, incidence, males",11.0,10.6,30.5,29.2,18.7,24.8,30.7,36.4,27.6,38.3,40.6,45.5,35.3,26.7,65.7,53.9,55.8,39.1,61.0,53.6,57.8,65.5,53.1,53.9,74.1,67.3,83.4,65.4,65.0,91.9,84.4,95.3,93.5,108.7,95.7,110.5,127.7,120.6,129.4,135.5,122.4
"80-84, incidence, males",11.9,28.4,43.0,10.3,29.6,19.0,45.8,30.5,62.2,31.6,37.8,32.8,74.3,52.5,48.8,41.7,49.1,35.4,60.0,39.1,62.9,69.3,125.3,77.0,74.2,79.6,55.9,57.6,83.0,76.8,95.7,127.0,125.5,116.6,93.4,138.2,142.6,122.1,131.8,160.1,122.9
"85+, incidence, males",14.5,0.00,12.9,60.4,33.6,63.8,50.7,76.2,63.2,17.1,41.0,62.7,59.3,77.4,59.8,37.6,65.8,74.5,66.7,38.1,69.6,63.4,36.4,61.1,55.1,81.4,116.4,113.7,110.3,132.4,75.6,131.4,135.4,158.3,101.1,138.2,145.4,182.9,148.3,201.3,162.3
"25-29, incidence, females",2.5,3.6,3.6,6.2,6.8,2.7,5.4,6.0,5.4,5.4,1.6,6.0,4.9,6.6,3.4,5.2,3.6,9.3,3.9,5.4,8.0,4.0,2.6,5.1,5.0,6.8,4.3,6.8,9.1,6.0,12.5,7.1,12.6,16.9,9.7,12.6,15.5,12.9,15.1,11.6,9.9
"30-34, incidence, females",5.1,8.0,6.2,5.8,5.0,4.0,4.6,6.1,8.3,6.8,6.4,8.0,5.9,7.5,7.0,2.7,6.5,7.1,6.0,9.6,5.8,6.6,9.3,7.8,8.0,6.0,7.9,7.7,8.1,10.4,11.5,13.9,12.6,17.8,10.5,12.7,26.0,15.7,21.8,19.5,20.5
"35-39, incidence, females",10.9,12.7,11.7,5.6,6.7,8.4,6.6,8.6,6.8,7.9,7.0,10.1,4.6,5.7,3.7,6.9,7.5,11.8,9.7,7.5,10.7,8.6,13.6,10.4,11.8,11.0,13.7,11.1,10.9,14.5,16.4,16.2,14.5,20.9,20.4,29.2,32.7,26.6,17.5,22.5,13.1
"40-44, incidence, females",9.8,12.3,8.1,16.3,11.5,10.3,11.5,13.4,9.7,11.6,12.6,10.3,7.6,8.7,10.9,11.5,14.1,12.2,8.8,11.0,9.5,11.2,9.1,11.3,12.8,10.2,16.2,11.9,15.9,16.2,21.2,23.6,19.5,20.9,24.6,16.8,37.7,17.5,21.3,32.2,20.7
"45-49, incidence, females",12.6,15.8,13.5,5.9,10.0,8.5,15.9,10.2,15.8,7.5,16.3,16.5,12.4,9.8,13.6,12.7,12.7,8.6,10.2,10.4,12.6,12.1,11.2,15.5,18.9,15.4,20.9,18.3,19.9,25.6,21.9,21.5,26.5,25.6,30.0,39.3,35.2,32.2,31.6,34.3,31.6
"50-54, incidence, females",6.2,10.4,13.4,13.6,17.7,7.5,17.5,19.0,18.6,15.2,15.8,11.2,11.7,18.0,11.7,14.4,17.9,10.8,19.3,12.7,15.2,16.6,11.6,14.3,16.5,18.3,17.8,18.5,20.8,25.8,21.3,30.0,25.9,35.5,32.6,24.1,37.7,33.6,36.7,33.0,31.5
"55-59, incidence, females",11.9,11.9,14.1,9.2,11.3,14.1,14.2,14.3,18.3,15.8,10.0,13.9,21.6,19.7,15.4,17.5,12.0,18.8,18.3,22.3,18.7,18.8,14.5,21.7,22.4,18.8,20.7,21.6,21.0,21.8,25.7,31.5,17.1,31.0,27.6,32.7,44.9,44.6,30.9,56.2,33.0
"60-64, incidence, females",9.0,11.1,18.7,12.2,22.8,18.1,14.5,11.7,19.8,11.7,15.3,17.6,18.4,16.5,16.2,18.1,16.6,20.6,19.4,24.0,26.0,21.7,27.8,18.7,26.5,31.4,23.1,24.8,28.1,28.5,39.3,37.4,29.5,28.5,32.1,35.6,47.8,47.0,40.2,45.5,32.8
"65-69, incidence, females",11.2,15.5,17.5,22.7,11.2,15.6,17.7,21.4,19.4,18.7,13.7,13.8,15.3,24.6,16.1,19.1,15.3,25.4,19.6,31.3,26.1,25.5,32.0,25.7,28.8,26.2,33.7,30.9,30.5,34.7,38.8,50.3,52.0,55.3,50.9,49.8,64.7,37.8,41.1,49.2,39.5
"70-74, incidence, females",22.2,14.5,22.3,14.2,16.8,25.0,18.1,16.6,24.3,27.7,20.2,17.7,24.4,23.9,25.5,31.6,32.4,23.2,22.4,18.2,30.3,32.7,43.5,27.5,29.0,29.4,37.5,49.5,39.9,46.8,59.2,52.9,31.8,55.6,43.6,46.1,69.0,64.3,56.4,65.2,49.7
"75-79, incidence, females",15.1,17.2,30.3,18.2,17.5,25.9,15.4,33.4,21.3,30.9,30.0,25.0,24.2,27.7,27.1,18.1,34.8,33.7,29.7,32.4,28.7,30.4,29.3,39.5,38.2,36.7,37.4,33.7,41.5,38.6,49.5,46.9,52.2,59.4,50.3,55.0,69.0,70.2,64.1,66.2,59.1
"80-84, incidence, females",19.7,25.7,35.3,19.0,26.4,17.5,29.9,26.7,23.8,29.3,28.3,35.1,26.8,16.1,37.9,37.8,35.1,26.5,35.2,28.2,45.8,33.9,28.5,28.8,39.9,30.1,53.3,42.0,40.3,54.3,64.4,63.8,63.5,50.9,53.9,54.5,58.0,59.7,64.7,68.7,58.4
"85+, incidence, females",15.1,9.3,21.6,39.5,29.1,23.8,35.3,39.2,31.5,30.0,31.1,36.9,25.6,26.7,31.9,24.2,40.6,29.7,28.7,52.1,28.8,43.3,40.9,53.1,49.3,43.1,61.0,62.3,52.9,58.2,85.0,71.4,69.2,62.7,71.3,64.0,82.7,74.4,78.6,70.2,87.3
"25-29, mortality, males",0.96,0.00,0.98,1.5,0.00,0.51,0.00,0.52,0.52,1.0,0.52,0.52,0.00,1.6,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.59,0.00,0.00,0.57,0.00,1.1,0.00,0.57,0.00,0.57,0.00,0.55,0.00,0.00,0.00
"30-34, mortality, males",2.2,0.44,0.00,0.91,0.94,0.95,1.4,1.9,0.00,0.00,0.51,0.51,0.00,0.51,1.0,0.51,0.52,0.52,0.00,1.1,0.00,0.58,1.2,0.00,1.3,0.00,0.00,0.61,1.2,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.55,1.1,0.00
"35-39, mortality, males",0.62,1.7,3.2,0.00,1.8,2.2,3.5,1.3,2.3,0.94,0.00,1.4,1.5,0.50,1.5,1.0,1.0,0.52,1.5,1.0,1.0,1.0,1.0,2.7,1.1,0.00,1.7,0.59,0.00,0.63,0.62,0.00,0.60,1.7,0.00,1.1,1.1,0.56,0.55,1.1,1.1
"40-44, mortality, males",1.4,2.7,2.6,1.3,2.0,3.1,5.2,2.7,2.0,1.4,2.7,1.8,1.8,1.4,2.4,2.4,1.5,1.5,0.50,1.0,2.0,1.0,2.1,1.6,1.0,2.6,1.6,2.6,0.53,0.00,0.56,3.4,1.8,0.61,0.62,0.00,0.61,2.4,0.58,1.1,0.00
"45-49, mortality, males",4.5,6.0,2.2,3.7,3.6,4.2,4.8,3.4,2.7,2.0,5.1,4.1,4.9,4.0,3.7,7.2,0.45,2.8,3.3,2.9,3.4,3.0,3.5,1.5,2.1,3.1,5.3,2.6,1.1,2.6,3.7,2.1,1.6,2.7,3.3,1.1,1.1,1.2,2.4,1.2,1.9
"50-54, mortality, males",2.9,4.4,4.4,3.0,4.6,4.6,2.3,3.1,6.1,3.7,3.6,7.8,2.1,2.1,2.8,8.5,7.9,6.2,4.1,2.9,2.8,3.3,3.8,2.9,3.0,7.6,5.6,2.6,3.1,2.6,4.2,4.8,2.2,1.6,3.7,3.2,5.3,4.8,3.8,3.9,1.7
"55-59, mortality, males",1.7,4.3,5.8,3.2,3.2,3.9,4.7,9.3,3.2,7.2,8.9,4.1,7.3,11.1,5.4,1.5,4.4,4.3,2.9,4.3,8.8,7.0,2.9,6.9,4.0,5.3,9.7,6.4,9.1,4.1,6.3,4.2,7.4,4.3,5.4,3.8,3.8,4.4,3.8,4.9,6.5
"60-64, mortality, males",3.4,7.8,7.6,5.3,12.0,8.6,3.7,5.5,13.3,10.4,5.1,7.6,9.3,4.3,7.8,11.3,7.9,7.8,8.5,5.7,5.7,10.2,7.7,6.9,8.4,11.5,8.0,9.2,6.2,9.5,9.2,11.3,9.9,7.9,8.1,9.3,11.6,9.4,11.2,9.6,6.3
"65-69, mortality, males",4.8,4.9,12.7,5.2,9.3,8.0,6.5,8.8,12.1,6.9,4.4,4.3,9.4,15.1,12.8,11.6,7.6,10.4,7.6,10.6,11.6,8.7,9.5,12.0,11.6,11.5,15.3,12.5,13.4,13.2,10.9,15.2,11.3,17.6,13.6,12.6,10.4,13.9,10.8,13.3,9.4
"70-74, mortality, males",4.7,9.2,3.0,6.0,16.5,12.2,14.0,9.6,8.1,8.3,6.6,9.6,9.2,10.4,11.2,13.4,6.5,16.2,15.6,16.3,15.9,19.0,12.1,17.7,12.2,13.2,12.1,16.2,13.6,13.1,19.8,14.3,15.8,23.3,15.6,19.0,19.3,19.9,18.8,13.2,17.0
"75-79, mortality, males",5.5,8.0,17.8,9.7,14.0,9.0,4.4,10.7,19.1,4.3,12.8,17.3,8.8,8.9,31.7,22.5,15.0,10.3,25.6,22.2,19.3,15.1,17.7,13.9,16.3,17.2,26.4,20.4,23.0,20.3,12.1,39.7,26.0,23.7,23.9,25.9,20.3,20.8,26.3,28.0,25.3
"80-84, mortality, males",17.9,17.1,10.8,10.3,14.8,23.8,13.7,21.8,16.6,7.9,18.9,21.9,14.2,28.0,20.9,17.4,21.0,21.3,35.3,10.7,17.5,19.8,31.3,23.7,33.0,25.7,29.2,34.6,24.0,35.3,25.9,28.9,35.6,37.0,43.9,48.5,37.0,36.1,31.3,20.4,40.0
"85+, mortality, males",14.5,27.4,64.6,48.3,11.2,53.2,20.3,28.6,18.1,34.3,32.8,39.2,37.1,77.4,26.6,18.8,17.9,11.5,33.4,32.7,10.7,15.8,10.4,30.6,30.0,43.1,31.3,33.7,35.5,33.1,30.9,48.1,30.1,56.5,53.2,47.8,52.5,48.0,48.7,27.8,43.1
"25-29, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,1.6,0.54,0.00,0.54,0.00,0.00,0.00,0.55,0.00,0.00,0.00,1.2,0.00,0.00,0.00,0.00,1.3,0.00,0.00,0.62,0.00,0.00,0.61,0.00,0.00,0.59,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.58,0.00
"30-34, mortality, females",0.93,0.00,0.48,1.5,1.5,0.00,0.00,1.0,0.52,1.1,0.53,0.00,0.00,0.54,0.00,0.00,0.00,1.1,1.1,0.00,0.58,0.00,0.00,0.65,0.00,0.00,0.66,0.00,0.00,0.61,0.61,0.00,0.00,1.2,0.00,0.58,0.00,0.00,0.00,1.2,0.00
"35-39, mortality, females",1.9,2.4,2.2,1.5,0.96,0.93,0.47,1.4,0.97,1.5,0.00,1.5,1.5,1.5,1.0,1.1,0.53,1.6,0.00,1.1,0.54,0.00,1.1,0.55,0.56,1.2,0.00,0.62,1.3,0.00,0.66,1.3,0.63,0.00,0.60,1.2,2.4,0.59,0.58,0.00,0.57
"40-44, mortality, females",0.70,0.69,2.7,0.68,1.4,1.3,0.61,0.56,0.51,2.4,0.47,2.8,0.95,0.49,2.0,1.0,1.0,0.51,0.51,1.6,1.1,2.1,0.54,0.54,1.1,0.54,0.00,3.8,0.00,1.7,1.1,0.59,0.61,0.63,1.3,0.00,0.00,0.63,0.00,0.60,0.00
"45-49, mortality, females",1.5,1.5,1.5,2.9,2.9,1.4,2.1,2.0,1.4,2.0,0.65,1.2,2.8,2.6,1.9,0.94,1.9,1.9,1.5,0.99,0.00,3.0,0.51,0.52,1.0,3.2,1.1,1.1,1.1,2.7,2.1,2.7,0.54,2.2,1.1,2.3,0.59,2.4,3.2,1.9,2.6
"50-54, mortality, females",2.8,0.00,0.70,4.3,1.5,0.00,3.0,2.3,2.2,0.72,4.3,2.1,2.7,4.2,2.1,4.6,3.7,2.8,3.6,3.4,1.9,2.4,1.9,0.99,2.5,1.5,2.5,2.1,2.1,1.1,2.7,2.1,2.2,1.1,1.1,1.1,1.1,1.1,0.55,2.8,0.57
"55-59, mortality, females",4.2,2.8,7.8,6.4,0.71,3.5,3.6,3.6,2.9,4.5,4.6,3.9,2.3,4.5,2.9,1.5,2.1,2.8,2.8,2.8,2.0,2.5,2.9,2.1,3.5,2.4,4.8,1.5,2.5,0.51,3.6,2.1,2.6,2.6,2.1,2.1,1.6,2.2,1.6,3.8,3.2
"60-64, mortality, females",2.5,3.2,3.9,4.6,2.2,1.4,4.4,4.4,3.7,3.7,2.9,5.1,3.0,5.3,2.3,3.9,3.2,7.1,4.6,1.5,5.2,3.6,2.1,1.4,2.9,0.68,3.8,4.7,4.9,2.0,0.49,4.9,4.5,1.5,3.1,3.7,5.8,2.1,4.8,2.7,3.8
"65-69, mortality, females",4.8,8.2,5.8,3.4,2.6,4.3,5.1,4.1,2.4,7.8,5.3,3.8,5.4,3.1,4.6,5.3,3.1,6.2,3.1,4.8,8.2,0.82,4.1,6.4,5.5,1.5,4.5,6.6,5.2,11.8,4.9,4.0,3.7,6.1,3.2,5.6,3.1,4.1,4.7,3.7,3.2
"70-74, mortality, females",7.4,3.6,6.2,5.3,3.5,6.2,5.4,4.6,6.5,4.8,5.8,4.6,7.2,8.8,6.8,4.2,6.6,5.8,6.6,7.4,3.3,9.0,9.0,6.7,9.4,4.3,11.3,0.87,4.2,4.9,8.9,7.9,10.1,3.1,10.1,3.7,3.5,8.4,5.9,7.7,2.7
"75-79, mortality, females",8.2,4.0,8.8,3.6,11.6,7.9,9.9,9.7,11.7,9.6,6.4,6.5,14.3,4.4,7.9,10.2,3.3,7.4,9.2,4.9,6.7,9.5,8.5,10.4,7.4,9.2,10.9,9.1,12.9,8.5,7.6,10.5,12.3,9.3,8.1,8.9,6.9,9.3,12.8,5.9,16.2
"80-84, mortality, females",7.4,4.7,6.6,6.3,16.2,9.7,9.3,5.3,6.8,6.5,11.0,7.6,10.4,10.3,11.7,7.3,7.3,4.4,11.7,0.00,8.9,15.5,13.6,10.5,10.0,9.6,14.2,11.7,6.9,7.9,12.2,11.0,8.8,15.5,13.5,15.9,11.4,7.9,18.7,10.6,11.5
"85+, mortality, females",5.0,9.3,8.6,7.9,14.6,17.0,3.2,21.1,22.9,16.3,15.5,12.3,13.9,13.3,19.1,14.1,9.7,18.6,17.9,20.8,22.0,10.0,29.5,16.1,6.4,23.1,16.0,24.9,17.2,19.0,14.6,14.0,21.6,20.9,24.5,17.6,20.2,17.9,19.7,17.5,20.1
