Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"75-79, incidence, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.9,0.00,89.5,0.00,0.00,84.2,41.1,0.00,0.00,73.6,0.00,0.00,67.4,0.00,64.6,94.0,62.0,29.4,28.0,27.6,137.0,192.7,55.4,84.9,56.9,28.2,55.8,27.6,108.4,104.6,49.8,117.4,65.2
"80-84, incidence, males",0.00,82.6,82.2,0.00,74.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.7,130.0,128.9,0.00,0.00,0.00,57.9,107.8,102.6,97.8,46.4,92.7,0.00,44.0,0.00,41.0,77.1,74.8,72.7,0.00,35.8,71.7,109.0,36.5,0.00,106.0,104.0
"85+, incidence, males",0.00,120.3,0.00,0.00,0.00,0.00,0.00,0.00,100.8,0.00,0.00,0.00,0.00,0.00,88.8,0.00,87.2,87.2,0.00,0.00,0.00,83.1,79.8,77.6,75.1,72.0,0.00,192.9,0.00,58.5,58.7,0.00,51.7,0.00,142.7,45.6,88.3,170.5,0.00,200.5,117.7
"25-29, incidence, females",11.1,0.00,0.00,20.3,9.9,0.00,9.7,0.00,0.00,0.00,0.00,9.2,0.00,18.6,28.7,9.9,30.7,10.3,40.2,49.5,29.0,46.8,37.9,29.5,38.6,37.7,27.3,17.6,8.3,16.6,17.3,17.8,9.0,0.00,8.9,8.6,8.3,23.8,7.5,0.00,0.00
"30-34, incidence, females",12.7,12.3,0.00,0.00,0.00,0.00,0.00,10.5,0.00,0.00,0.00,0.00,0.00,9.5,28.2,28.3,9.4,9.5,28.7,78.2,9.9,40.3,60.4,59.4,29.5,38.8,9.4,18.6,9.3,36.5,9.1,9.0,17.9,26.5,8.8,0.00,0.00,0.00,34.0,8.1,23.3
"35-39, incidence, females",0.00,0.00,28.4,0.00,52.5,0.00,0.00,23.5,0.00,33.7,10.9,0.00,10.4,10.1,0.00,9.8,29.2,19.3,28.6,47.0,18.6,64.9,36.9,28.0,38.4,29.3,19.8,9.8,38.0,56.7,9.4,28.1,9.4,0.00,28.2,0.00,17.9,0.00,8.4,24.9,0.00
"40-44, incidence, females",0.00,0.00,0.00,34.8,49.3,0.00,0.00,0.00,13.7,0.00,12.7,24.4,23.5,0.00,11.3,11.0,10.7,10.5,10.2,19.9,19.5,38.3,9.5,9.4,18.5,18.4,9.1,63.1,27.1,55.5,19.1,9.8,9.9,19.4,19.1,28.3,9.3,36.8,18.3,17.8,8.6
"45-49, incidence, females",0.00,0.00,18.6,0.00,19.0,0.00,0.00,0.00,17.5,0.00,15.6,29.8,14.3,0.00,13.2,38.4,12.3,35.7,0.00,22.7,0.00,32.1,31.1,40.5,29.6,29.1,19.0,46.9,9.2,36.2,27.1,36.1,18.0,27.4,18.7,28.8,0.00,38.8,37.5,27.5,9.0
"50-54, incidence, females",18.6,36.2,18.0,0.00,0.00,0.00,0.00,0.00,19.1,0.00,58.2,0.00,37.5,35.6,16.8,0.00,0.00,14.5,55.3,26.8,51.6,37.0,23.8,23.3,34.0,43.9,10.7,10.3,39.8,38.9,28.8,37.9,0.00,9.3,46.0,9.1,9.1,26.9,45.3,18.4,55.9
"55-59, incidence, females",0.00,0.00,19.9,0.00,19.6,18.9,18.4,36.6,18.3,18.3,0.00,0.00,0.00,19.5,19.7,0.00,39.4,0.00,36.6,34.4,80.5,30.7,58.8,56.0,54.3,13.0,24.9,47.9,23.4,11.4,22.0,32.1,41.7,40.5,49.3,19.3,28.6,18.9,0.00,9.2,9.1
"60-64, incidence, females",0.00,0.00,0.00,21.8,0.00,21.0,41.6,0.00,40.9,20.2,97.7,19.0,18.9,18.9,0.00,19.3,39.2,19.8,40.0,40.2,0.00,20.3,0.00,0.00,35.1,32.8,31.3,30.0,0.00,0.00,26.6,12.8,36.9,0.00,35.0,33.9,43.8,10.6,20.6,20.0,39.1
"65-69, incidence, females",26.5,0.00,26.0,0.00,0.00,0.00,0.00,0.00,0.00,22.4,44.2,0.00,0.00,0.00,21.2,40.9,39.8,39.2,39.3,79.0,0.00,20.4,41.3,20.8,21.0,42.4,0.00,40.8,38.7,0.00,34.0,16.3,0.00,29.9,42.9,27.6,79.7,25.6,12.4,24.1,23.3
"70-74, incidence, females",0.00,63.8,61.9,0.00,0.00,0.00,28.7,28.4,0.00,0.00,54.6,52.6,0.00,74.6,0.00,23.9,0.00,0.00,0.00,0.00,44.1,0.00,21.0,42.2,0.00,42.5,43.4,21.9,44.3,22.5,22.7,89.0,21.5,0.00,19.1,36.1,51.5,16.5,94.3,45.0,28.9
"75-79, incidence, females",81.4,80.5,0.00,77.2,38.1,38.1,0.00,0.00,35.7,35.0,0.00,67.0,65.8,129.0,0.00,0.00,0.00,0.00,0.00,27.5,54.4,0.00,52.0,0.00,25.5,0.00,70.4,117.2,23.7,0.00,23.9,73.1,0.00,0.00,24.9,0.00,24.5,47.7,45.0,63.4,19.9
"80-84, incidence, females",0.00,0.00,0.00,55.2,0.00,0.00,104.7,0.00,50.2,49.5,0.00,47.8,0.00,46.4,45.2,43.8,43.0,84.6,41.7,0.00,0.00,0.00,37.3,36.0,102.4,101.2,66.1,31.9,0.00,62.2,0.00,57.8,86.2,0.00,57.6,58.4,118.2,29.7,30.1,122.0,60.5
"85+, incidence, females",0.00,0.00,0.00,65.8,0.00,61.2,0.00,115.2,0.00,55.5,0.00,0.00,0.00,0.00,49.7,49.4,0.00,0.00,47.3,0.00,0.00,90.6,44.4,42.5,41.4,39.8,114.8,0.00,35.1,101.2,0.00,31.7,0.00,29.4,0.00,27.3,26.5,52.1,25.7,50.8,50.5
"25-29, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"30-34, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.2,0.00,0.00,0.00,0.00,0.00,0.00,16.8,0.00,0.00,0.00,0.00,0.00
"35-39, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.1,0.00,0.00,0.00
"40-44, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.7,0.00,0.00,0.00,0.00,0.00,0.00
"45-49, mortality, males",0.00,18.5,37.6,0.00,0.00,0.00,0.00,0.00,17.5,0.00,15.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.7,0.00,0.00,0.00,18.1,9.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"50-54, mortality, males",0.00,0.00,17.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.2,18.6,0.00,0.00,15.7,0.00,0.00,13.2,0.00,12.1,0.00,0.00,0.00,0.00,0.00,0.00,9.4,18.3,0.00,0.00,0.00,0.00,0.00,9.3,0.00,9.2,9.1,0.00,0.00,0.00
"55-59, mortality, males",0.00,0.00,0.00,0.00,19.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.9,0.00,20.0,0.00,0.00,0.00,0.00,0.00,16.1,0.00,0.00,0.00,0.00,12.3,0.00,11.2,10.9,0.00,0.00,0.00,0.00,0.00,19.6,0.00,9.4,9.3,0.00,0.00,0.00
"60-64, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,21.5,0.00,0.00,20.4,0.00,0.00,0.00,0.00,0.00,0.00,41.0,0.00,0.00,0.00,0.00,0.00,0.00,18.9,18.0,0.00,15.5,0.00,0.00,13.2,0.00,0.00,0.00,11.7,0.00,0.00,10.9,0.00,0.00,0.00,9.6
"65-69, mortality, males",0.00,0.00,28.8,0.00,0.00,0.00,0.00,25.3,0.00,0.00,0.00,0.00,0.00,45.5,22.2,21.6,21.1,0.00,0.00,0.00,21.3,22.1,44.6,22.2,0.00,0.00,0.00,0.00,19.9,19.0,52.9,0.00,15.4,0.00,0.00,39.9,25.7,0.00,36.5,11.8,11.6
"70-74, mortality, males",0.00,0.00,0.00,35.5,0.00,0.00,0.00,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.8,0.00,23.4,0.00,23.6,0.00,0.00,24.3,24.2,24.2,71.6,23.0,0.00,0.00,0.00,0.00,16.7,15.8,0.00,14.3
"75-79, mortality, males",50.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.0,43.2,0.00,0.00,0.00,0.00,0.00,0.00,34.1,0.00,33.0,0.00,62.6,62.0,29.4,28.0,0.00,27.4,0.00,27.7,56.6,28.4,0.00,0.00,0.00,27.1,52.3,24.9,0.00,0.00
"80-84, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.2,0.00,65.0,64.5,63.9,63.2,0.00,0.00,0.00,51.3,0.00,46.4,0.00,45.6,44.0,42.5,0.00,0.00,37.4,0.00,0.00,35.8,0.00,36.3,0.00,36.2,0.00,34.7
"85+, mortality, males",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.4,0.00,84.6,0.00,0.00,0.00,75.1,72.0,135.9,0.00,0.00,0.00,58.7,55.0,51.7,0.00,0.00,0.00,0.00,85.3,0.00,80.2,196.2
"25-29, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"30-34, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"35-39, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.3,9.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"40-44, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"45-49, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.0,0.00,9.0,0.00,0.00,0.00,0.00,0.00,0.00,9.4,0.00,0.00
"50-54, mortality, females",18.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.3,0.00,0.00,16.8,0.00,0.00,14.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.3,10.3,10.0,0.00,0.00,19.0,0.00,0.00,9.2,0.00,0.00,0.00,0.00,0.00,18.6
"55-59, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.3,0.00,0.00,0.00,0.00,0.00,19.5,0.00,0.00,19.7,0.00,0.00,0.00,32.2,0.00,14.7,0.00,0.00,13.0,0.00,12.0,0.00,22.7,0.00,21.4,0.00,0.00,9.9,0.00,0.00,0.00,0.00,9.2,0.00
"60-64, mortality, females",0.00,0.00,22.3,0.00,0.00,0.00,20.8,20.6,0.00,0.00,0.00,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.7,0.00,17.5,0.00,15.7,30.0,0.00,0.00,13.3,0.00,12.3,0.00,0.00,0.00,0.00,21.2,10.3,0.00,0.00
"65-69, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.7,0.00,19.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.0,0.00,15.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70-74, mortality, females",0.00,0.00,30.9,60.6,29.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.3,46.2,0.00,0.00,42.2,21.0,0.00,0.00,0.00,0.00,21.9,22.2,22.5,0.00,0.00,21.5,20.3,0.00,18.1,0.00,16.5,15.7,0.00,0.00
"75-79, mortality, females",0.00,0.00,0.00,38.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.2,0.00,26.0,0.00,0.00,0.00,0.00,46.9,23.7,0.00,0.00,24.4,24.5,0.00,24.9,0.00,0.00,0.00,45.0,0.00,0.00
"80-84, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.9,0.00,0.00,46.4,0.00,0.00,0.00,0.00,0.00,41.7,40.4,0.00,0.00,72.0,68.3,0.00,0.00,31.9,0.00,0.00,29.9,57.8,28.7,28.7,0.00,29.2,0.00,59.4,60.3,91.5,0.00
"85+, mortality, females",0.00,0.00,0.00,0.00,0.00,0.00,59.3,57.6,56.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.3,0.00,0.00,0.00,0.00,42.5,0.00,0.00,76.5,0.00,35.1,0.00,32.9,63.3,0.00,0.00,0.00,0.00,26.5,78.1,51.3,0.00,50.5
