Label,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"85+, incidence, males",32.1,47.0,61.4,39.8,34.2,24.2,42.9,32.6,22.6,48.7,30.4,42.7,21.0,45.7,36.9,35.9,27.5,38.4,70.9,94.3,78.6,60.1,66.5,97.8,83.2,86.8,93.5,113.2,123.2,109.1,120.8,163.4,136.1,139.5,144.1,151.5,163.1,181.6,183.5,190.6,208.1
"25-29, incidence, females",6.6,8.3,8.2,7.2,5.5,7.2,5.5,12.1,9.8,8.0,11.4,9.6,8.4,15.6,14.3,20.1,16.0,13.7,14.9,13.3,20.6,12.1,16.6,15.4,16.6,26.1,32.6,26.8,29.2,24.4,26.6,34.0,27.3,26.0,30.5,23.1,15.0,18.8,26.1,16.9,15.7
"30-34, incidence, females",9.8,12.1,9.9,11.8,8.7,7.1,8.3,13.7,7.7,12.1,13.3,15.9,12.0,11.4,20.6,18.0,18.0,16.9,12.4,17.9,21.3,16.8,17.2,24.2,21.6,29.8,30.9,32.4,35.8,38.1,39.7,36.9,32.7,35.4,36.5,32.3,38.0,29.4,29.2,37.6,30.4
"35-39, incidence, females",18.1,15.5,10.1,18.1,15.5,14.3,15.6,18.9,16.2,13.7,14.8,18.8,20.3,15.4,17.0,20.8,15.2,18.3,19.7,15.1,23.3,25.7,19.2,27.5,30.6,34.4,32.9,40.2,45.1,49.0,46.0,45.0,38.8,40.2,42.5,42.5,49.0,35.4,47.0,36.1,43.3
"40-44, incidence, females",19.8,14.1,19.1,19.7,18.8,22.2,26.9,20.3,21.1,19.5,24.8,20.3,21.0,25.4,25.7,20.3,19.8,32.2,15.8,23.4,32.7,21.6,25.8,25.5,26.2,33.0,34.5,35.3,49.0,56.1,47.1,58.6,50.7,55.1,63.1,55.8,54.7,57.6,52.3,54.9,52.5
"45-49, incidence, females",21.2,19.0,15.2,27.2,25.9,29.1,17.0,20.6,31.4,24.5,37.5,22.3,30.2,24.8,37.4,32.4,29.0,30.6,20.6,26.3,27.0,26.5,21.9,28.5,30.7,31.7,36.4,41.9,37.5,56.6,45.0,54.9,48.5,64.6,60.4,57.8,75.0,56.5,74.7,63.1,62.5
"50-54, incidence, females",17.2,26.1,16.2,25.9,17.2,10.5,23.2,20.0,24.1,29.3,19.1,29.0,29.1,32.6,26.8,35.7,25.3,29.6,33.6,28.4,37.4,31.0,32.7,35.8,41.3,31.4,36.9,38.9,40.0,44.9,47.4,57.4,49.7,57.4,57.0,60.4,66.9,69.2,83.8,74.5,68.8
"55-59, incidence, females",23.5,20.0,18.3,22.8,19.6,21.5,26.3,22.1,22.2,18.6,23.9,23.9,29.0,23.3,34.6,29.0,36.9,25.7,20.7,37.0,29.9,35.5,37.7,44.2,39.9,39.1,46.3,41.9,46.9,45.6,40.0,59.9,52.6,50.3,46.2,65.5,71.1,52.0,56.0,75.4,73.3
"60-64, incidence, females",18.8,17.5,22.2,27.8,18.5,24.6,24.6,25.8,32.2,27.4,24.1,25.2,24.8,26.5,30.0,34.0,25.0,31.9,36.9,36.0,37.7,33.9,38.2,35.4,42.9,48.8,42.3,53.2,62.3,57.2,49.6,67.7,77.7,65.8,74.5,64.7,63.9,51.1,69.5,73.3,68.8
"65-69, incidence, females",15.9,20.0,20.2,19.6,22.2,23.4,24.2,26.1,32.2,23.7,34.1,28.7,45.9,22.5,37.5,40.9,38.9,24.9,39.7,38.4,39.9,36.4,36.7,36.9,37.1,53.8,55.6,65.1,55.8,60.8,58.9,80.1,72.8,65.8,73.6,81.0,85.1,82.1,88.0,78.9,76.0
"70-74, incidence, females",22.8,16.4,20.5,34.6,26.9,23.6,24.0,26.8,36.7,31.8,47.5,39.2,36.0,35.1,37.6,33.0,28.6,39.0,30.6,37.5,42.1,44.6,39.3,52.0,43.6,52.9,44.6,38.2,63.3,84.5,60.2,56.9,63.9,74.8,100.0,79.4,92.0,97.5,106.8,103.3,101.2
"75-79, incidence, females",19.6,27.2,22.3,26.3,25.7,33.4,19.5,25.4,29.1,24.0,35.1,35.6,31.8,38.5,36.8,38.6,38.5,39.9,38.8,45.8,33.3,50.6,42.2,51.3,41.5,57.8,53.9,39.5,66.9,55.4,83.7,91.0,66.3,63.0,81.1,92.3,101.5,92.2,97.0,114.5,115.3
"80-84, incidence, females",23.4,24.6,25.6,31.4,34.0,22.0,23.0,19.5,28.0,33.0,36.3,27.4,25.8,26.8,37.5,48.2,27.2,37.1,37.6,51.7,39.8,50.9,45.8,51.1,56.9,64.4,74.7,68.9,54.2,64.8,74.4,92.4,82.4,112.9,110.0,83.8,118.6,88.3,103.9,112.2,105.8
"85+, incidence, females",30.8,26.7,15.1,31.2,18.4,33.1,25.7,36.7,33.3,30.2,34.7,24.8,27.4,26.8,34.4,34.9,23.4,24.5,38.9,67.0,35.9,45.6,39.8,67.0,59.8,63.7,85.5,49.5,63.7,84.4,89.8,102.0,89.7,79.4,82.4,101.6,101.2,89.6,93.4,73.8,76.0
"25-29, mortality, males",0.52,0.52,1.0,0.00,2.1,0.53,1.0,0.52,2.1,0.50,0.49,0.00,1.9,0.46,0.93,0.48,0.00,0.00,0.00,0.51,0.00,0.00,0.53,1.1,0.00,0.00,0.00,0.62,0.00,1.9,0.64,0.63,0.00,1.2,0.00,0.00,0.00,1.0,0.00,0.00,0.49
"30-34, mortality, males",3.3,1.9,0.50,2.1,1.6,1.6,0.53,2.6,2.1,1.1,1.1,1.0,0.52,0.51,0.50,0.49,1.9,0.46,0.45,1.8,0.94,1.5,0.50,1.0,2.6,0.52,1.6,0.00,3.3,2.2,0.00,0.59,0.60,0.61,0.00,2.5,1.2,0.00,0.00,0.55,1.6
"35-39, mortality, males",1.6,3.6,1.9,2.8,2.3,2.4,2.4,1.5,2.6,3.2,2.7,0.00,3.2,2.6,1.6,2.1,1.0,2.1,1.0,3.0,0.97,2.4,1.8,1.4,1.9,1.4,2.0,0.51,1.5,0.51,1.0,2.6,0.53,2.2,1.7,0.00,0.00,1.2,0.59,0.00,0.00
"40-44, mortality, males",4.0,2.6,3.8,2.5,4.1,3.8,4.1,2.9,1.9,4.7,4.8,1.5,3.1,3.2,3.2,1.6,2.1,3.7,1.1,3.2,1.1,2.6,1.0,4.6,0.50,3.4,1.9,2.3,2.3,2.8,1.4,0.00,2.5,3.1,2.1,1.0,2.0,0.52,0.00,2.7,1.1
"45-49, mortality, males",5.9,3.7,4.4,4.3,4.9,1.4,6.0,5.9,6.2,6.0,3.9,4.7,3.5,5.3,4.7,2.4,4.5,3.6,3.7,4.8,2.7,3.8,4.8,2.7,4.8,3.2,1.6,5.8,4.1,4.0,2.4,2.8,2.8,0.46,2.4,5.3,2.0,2.5,2.0,2.6,2.5
"50-54, mortality, males",4.4,5.2,3.8,7.6,8.4,4.6,6.1,3.8,10.3,5.8,9.2,10.3,7.4,5.8,6.7,7.5,8.6,3.5,5.4,5.8,3.5,6.6,4.2,1.6,6.6,4.4,5.0,5.5,3.3,1.6,4.9,4.3,6.4,4.2,5.1,3.0,4.3,4.2,3.3,2.9,2.4
"55-59, mortality, males",4.3,8.8,8.2,6.8,9.9,6.2,9.4,5.6,9.6,9.7,12.1,10.4,10.3,4.6,9.8,9.6,3.6,12.6,8.0,7.0,7.7,11.2,7.9,8.1,8.6,5.7,11.3,8.9,5.7,7.4,9.2,6.3,6.8,9.1,6.2,3.4,10.5,4.9,5.9,4.2,5.1
"60-64, mortality, males",8.9,9.5,7.0,8.6,7.8,4.7,11.1,13.0,11.5,9.1,16.1,6.8,8.6,13.0,9.6,8.7,12.0,7.6,9.1,12.1,7.1,9.9,10.4,9.9,13.0,11.6,12.5,9.2,14.3,9.6,11.4,9.6,9.4,8.3,8.4,10.2,8.4,5.9,5.3,11.2,5.8
"65-69, mortality, males",13.2,0.89,6.3,11.9,14.7,8.4,10.9,15.2,12.5,8.0,11.5,13.6,10.1,9.3,13.1,11.4,12.5,13.5,15.5,9.8,18.4,12.4,9.4,11.0,6.1,11.8,18.9,16.6,16.6,17.0,15.2,20.3,18.1,14.9,16.1,14.0,17.0,10.7,12.1,14.1,5.8
"70-74, mortality, males",9.1,5.6,12.1,11.9,8.6,14.0,9.8,13.2,16.8,19.1,17.1,16.6,14.2,13.1,14.1,16.2,20.9,11.2,19.1,22.5,15.9,16.0,10.3,20.6,13.7,10.1,14.2,13.8,22.5,21.9,23.0,23.3,25.9,21.1,23.7,18.4,14.3,16.2,18.3,16.5,17.4
"75-79, mortality, males",8.7,18.8,13.5,20.0,9.7,6.3,23.2,10.6,7.4,29.4,13.2,17.9,21.0,13.7,18.4,27.8,22.6,20.8,28.0,22.0,11.6,23.4,17.6,28.0,19.0,22.0,20.5,21.9,24.6,21.4,20.9,33.8,41.7,31.1,32.3,25.2,25.4,27.3,28.8,35.2,24.2
"80-84, mortality, males",0.00,18.4,12.1,14.9,20.6,5.7,19.8,11.1,8.2,24.0,10.3,20.1,24.5,12.0,19.0,21.3,7.2,38.5,17.1,17.1,41.6,18.8,20.7,16.0,17.7,35.4,28.6,17.4,23.7,23.3,31.6,37.5,37.1,42.8,41.6,40.1,27.5,41.9,34.8,41.2,36.0
"85+, mortality, males",10.7,15.7,56.2,49.8,24.4,9.7,19.1,4.7,27.2,26.6,26.1,17.1,16.8,12.5,16.4,23.9,23.5,23.0,7.5,25.4,35.7,35.4,14.0,17.5,38.2,56.8,29.0,34.6,61.6,45.5,38.3,45.9,55.6,30.1,52.4,48.8,62.7,36.8,48.3,58.1,55.9
"25-29, mortality, females",0.00,0.00,0.55,0.55,0.00,0.00,0.00,0.00,1.1,0.53,0.00,0.51,0.00,0.00,0.49,0.50,0.51,0.00,0.53,0.53,0.53,1.0,0.00,0.55,0.57,0.59,0.61,0.00,0.64,1.3,0.65,0.00,0.63,1.2,0.00,0.00,0.00,0.00,0.52,0.51,0.51
"30-34, mortality, females",0.49,0.00,1.0,3.8,0.55,0.55,1.1,1.1,1.1,1.1,0.55,2.2,0.55,0.00,0.53,0.00,0.50,0.97,0.48,2.4,0.49,1.0,2.1,0.00,0.53,1.0,0.00,0.00,0.55,0.56,1.2,0.60,0.00,0.00,0.00,0.63,0.62,0.00,0.00,0.00,0.00
"35-39, mortality, females",3.4,1.1,3.0,2.4,2.4,0.99,1.5,0.00,2.2,2.2,2.2,1.7,2.7,1.1,3.3,0.00,0.54,1.6,0.00,1.0,1.5,2.5,1.9,1.4,1.5,2.5,2.6,1.0,0.00,1.6,0.52,2.1,1.6,0.54,1.7,1.7,0.58,1.8,0.60,0.61,0.00
"40-44, mortality, females",2.0,2.7,3.3,1.3,4.2,1.7,4.8,2.0,3.4,5.4,5.0,1.5,2.1,3.8,2.2,3.3,2.2,1.6,2.7,2.7,3.8,2.2,2.7,3.2,2.6,2.5,2.9,1.4,0.95,1.9,1.5,3.1,2.6,2.1,1.6,1.5,1.0,0.00,1.6,1.1,0.00
"45-49, mortality, females",2.9,1.5,4.3,5.7,1.4,6.2,7.5,2.0,3.8,6.7,6.9,4.3,3.6,4.0,5.4,4.5,2.0,2.6,0.54,3.3,3.9,3.3,2.7,1.6,2.2,1.6,2.7,4.8,2.1,1.5,2.0,1.5,2.4,4.8,3.4,2.0,4.6,5.1,2.1,2.1,2.5
"50-54, mortality, females",4.3,6.5,4.4,4.4,6.7,5.2,5.2,3.0,4.4,5.0,7.8,4.1,5.4,1.3,8.1,5.3,2.8,4.2,3.0,4.5,4.5,6.7,5.4,1.7,1.7,4.5,4.5,2.2,1.7,3.9,3.3,3.3,5.9,5.3,2.6,3.5,5.4,3.3,3.3,4.8,3.5
"55-59, mortality, females",4.7,5.5,7.0,5.0,5.1,3.0,5.3,8.4,8.4,6.2,6.2,5.4,1.5,3.8,2.9,8.0,2.8,7.6,6.7,6.4,4.2,4.5,4.3,5.1,3.6,3.6,5.4,4.5,3.4,4.0,2.9,2.9,1.1,5.1,6.2,5.6,3.3,3.3,3.8,1.6,3.6
"60-64, mortality, females",6.8,2.2,6.4,7.8,5.7,5.6,10.1,6.6,6.7,8.4,7.8,10.2,8.8,5.6,1.6,8.9,4.8,5.6,5.5,7.7,8.3,8.1,7.9,4.9,3.2,9.0,5.1,4.8,9.0,6.9,7.5,6.1,8.1,6.4,8.2,2.4,4.1,4.6,5.2,4.0,6.3
"65-69, mortality, females",9.1,4.6,8.5,3.9,7.1,4.8,8.6,4.6,9.2,10.7,4.5,8.5,9.5,8.0,10.6,12.5,6.8,12.0,5.2,7.0,7.8,10.4,6.0,9.2,6.5,10.3,6.9,9.7,12.2,12.2,10.8,4.2,5.1,11.1,12.2,3.9,5.8,9.6,4.9,7.3,4.9
"70-74, mortality, females",4.4,10.4,7.7,8.4,5.0,6.8,12.0,7.8,7.9,13.2,9.9,9.6,8.6,10.3,8.5,10.2,10.4,5.3,11.7,7.3,13.1,8.5,13.4,13.5,12.6,9.6,10.4,9.3,6.3,10.6,7.7,5.9,14.6,11.6,17.4,11.5,5.7,6.6,8.9,9.4,7.8
"75-79, mortality, females",5.8,12.5,7.8,9.9,10.7,2.1,5.1,11.2,13.0,14.0,12.0,11.2,13.3,11.4,10.5,10.7,13.5,11.3,6.1,14.2,10.1,13.4,13.7,8.6,14.2,13.3,12.3,16.9,18.2,17.0,13.4,23.0,10.7,17.6,10.0,9.7,12.2,10.8,18.9,13.7,9.8
"80-84, mortality, females",9.0,14.0,5.1,14.9,21.0,7.9,9.2,7.5,10.3,14.4,9.8,15.1,8.1,16.1,6.7,13.4,20.4,13.8,12.5,8.4,18.5,12.4,20.2,29.6,13.2,12.1,6.8,19.3,20.9,9.9,14.3,23.1,24.6,24.6,25.7,15.4,24.5,18.4,22.8,13.4,20.0
"85+, mortality, females",8.4,13.3,20.2,14.4,0.00,22.1,29.9,12.2,13.7,15.1,18.2,10.6,15.4,21.8,18.0,12.7,10.9,13.8,21.0,13.1,21.5,25.7,9.9,27.1,31.3,26.3,14.9,21.4,14.6,22.4,35.1,16.8,33.3,26.9,26.6,31.7,30.4,36.6,25.2,37.5,25.7
